campaign_id,tweetId,parentTweet,title,postUrl,userId,DATE,hashtags,tweet_urls,name,userUrl,website,location,description,followers,favorite,tweets,thumbnail
test,"""1030437855288586240""","""0""","Donald Trump is a ""Russian asset"" owned by the mafia, author claims in new book  https://t.co/4vWjayKXwQ https://t.co/IOR2G3tBK7",twitter.com/Newsweek/status/1030437855288586240,"""2884771""",17/08/2018 15:55, , ,Newsweek,https://twitter.com/Newsweek,https://t.co/92gD7evE72,"New York, NY","Stay relevant. News and analysis on politics, science, technology, and culture.",3278839,2739,162626,http://pbs.twimg.com/profile_images/741603495929905152/di0NxkFa_normal.jpg
4,"""1031672243129122816""","""0""","Donald Trump is a ""Russian asset"" owned by the mafia, author claims in new book  https://t.co/pAJIBDGXBQ https://t.co/WxhNpVebE2",twitter.com/Newsweek/status/1031672243129122816,"""2884771""",21/08/2018 01:40,,"http://bit.ly/2nV5dLY,",Newsweek,https://twitter.com/Newsweek,https://t.co/92gD7evE72,"New York, NY","Stay relevant. News and analysis on politics, science, technology, and culture.",3278839,2739,162626,http://pbs.twimg.com/profile_images/741603495929905152/di0NxkFa_normal.jpg
4,"""1031511246405861376""","""0""","Donald Trump is a ""Russian asset"" owned by the mafia, author claims in new book  https://t.co/rAvb0OrnqN https://t.co/4QFmoZLMGZ",twitter.com/Newsweek/status/1031511246405861376,"""2884771""",20/08/2018 15:00,,"http://bit.ly/2Pn4KhW,",Newsweek,https://twitter.com/Newsweek,https://t.co/92gD7evE72,"New York, NY","Stay relevant. News and analysis on politics, science, technology, and culture.",3278839,2739,162626,http://pbs.twimg.com/profile_images/741603495929905152/di0NxkFa_normal.jpg
